Title:,Missouri EPHT Asthma,
Data selected in addition to rows and columns below:,Patient Type: Inpatient; Single Year(s): 2011; ,,
Statistics:,Count,,
Zip / ZCTA,,,
51640,0,,
52542,0,,
52573,0,,
52626,0,,
63005,5,,
63010,40,,
63011,19,,
63012,12,,
63013,0,,
63014,0,,
63015,x,,
63016,8,,
63017,9,,
63019,14,,
63020,30,,
63021,32,,
63023,5,,
63025,13,,
63026,45,,
63028,37,,
63030,0,,
63031,61,,
63033,101,,
63034,33,,
63036,x,,
63037,x,,
63038,x,,
63039,0,,
63040,5,,
63041,0,,
63042,46,,
63043,21,,
63044,16,,
63045,0,,
63047,0,,
63048,x,,
63049,19,,
63050,16,,
63051,16,,
63052,24,,
63053,0,,
63055,x,,
63056,x,,
63057,0,,
63060,x,,
63061,0,,
63068,x,,
63069,15,,
63070,14,,
63071,x,,
63072,x,,
63073,0,,
63074,40,,
63077,14,,
63079,0,,
63080,13,,
63084,19,,
63087,x,,
63088,6,,
63089,7,,
63090,12,,
63091,0,,
63101,14,,
63102,x,,
63103,27,,
63104,62,,
63105,5,,
63106,99,,
63107,80,,
63108,41,,
63109,41,,
63110,35,,
63111,65,,
63112,79,,
63113,83,,
63114,84,,
63115,146,,
63116,79,,
63117,12,,
63118,110,,
63119,32,,
63120,89,,
63121,116,,
63122,23,,
63123,27,,
63124,9,,
63125,35,,
63126,9,,
63127,x,,
63128,15,,
63129,33,,
63130,59,,
63131,9,,
63132,27,,
63133,46,,
63134,61,,
63135,71,,
63136,243,,
63137,62,,
63138,69,,
63139,18,,
63140,x,,
63141,11,,
63143,7,,
63144,11,,
63146,29,,
63147,70,,
63301,46,,
63303,38,,
63304,35,,
63330,0,,
63332,0,,
63333,0,,
63334,8,,
63336,x,,
63339,x,,
63341,5,,
63343,x,,
63344,x,,
63345,0,,
63347,6,,
63348,x,,
63349,0,,
63350,x,,
63351,x,,
63352,x,,
63353,10,,
63357,x,,
63359,x,,
63361,x,,
63362,10,,
63363,x,,
63366,48,,
63367,5,,
63368,21,,
63369,x,,
63370,0,,
63373,0,,
63376,60,,
63377,x,,
63379,16,,
63381,x,,
63382,x,,
63383,9,,
63384,x,,
63385,26,,
63386,0,,
63387,0,,
63388,x,,
63389,9,,
63390,x,,
63401,20,,
63430,7,,
63431,0,,
63432,0,,
63433,0,,
63434,0,,
63435,6,,
63436,x,,
63437,0,,
63438,0,,
63439,0,,
63440,x,,
63441,x,,
63443,0,,
63445,9,,
63446,0,,
63447,0,,
63448,0,,
63450,0,,
63451,0,,
63452,0,,
63453,0,,
63454,x,,
63456,x,,
63457,0,,
63458,0,,
63459,x,,
63460,0,,
63461,x,,
63462,0,,
63463,0,,
63464,0,,
63465,0,,
63467,0,,
63468,x,,
63469,0,,
63471,0,,
63472,x,,
63473,0,,
63474,0,,
63501,10,,
63530,0,,
63531,0,,
63532,0,,
63533,0,,
63534,0,,
63535,0,,
63536,0,,
63537,x,,
63538,0,,
63539,0,,
63540,0,,
63541,0,,
63543,0,,
63544,0,,
63545,x,,
63546,0,,
63547,0,,
63548,x,,
63549,0,,
63551,0,,
63552,7,,
63555,x,,
63556,x,,
63557,0,,
63558,0,,
63559,x,,
63560,0,,
63561,0,,
63563,0,,
63565,8,,
